중요한 | Having great significance or value | It's important to study every day for better results. | general
아름다운 | Pleasing to look at; attractive | The sunset was beautiful over the calm lake. | general
친근한 | Kind and pleasant to others | The teacher was very friendly to all new students. | general
도움이 되는 | Giving or ready to give help | My neighbor is always helpful when I need assistance. | general
창의적인 | Having the ability to make new things | She is very creative with her art projects. | general
조심스러운 | Taking care to avoid danger or mistakes | Be careful when crossing the busy street. | general
인기 있는 | Liked by many people | Pizza is a popular food choice among teenagers. | general
현대적인 | Relating to the present time | The modern technology makes our lives easier. | general
간단한 | Easy to understand or do | This recipe is simple and quick to make. | general
자연스러운 | Existing in nature, not made by humans | I prefer natural foods over processed ones. | general
특별한 | Better or more important than usual | Today is a special day for our family. | general
완벽한 | Having no mistakes or faults | The weather is perfect for a picnic today. | general
정직한 | Telling the truth; not lying | An honest person always tells the truth. | general
관대한 | Willing to give more than necessary | My grandfather was generous with his time and money. | general
참을성 있는 | Able to wait calmly | Good teachers are patient with slow learners. | general
자신감 있는 | Feeling sure about your abilities | She felt confident about passing the exam. | general
호기심 많은 | Wanting to know or learn about things | Children are naturally curious about the world. | general
체계적인 | Arranged in a neat and logical way | Keep your desk organized for better productivity. | general
편안한 | Free from tension and anxiety | I feel relaxed when I listen to music. | general
성공적인 | Achieving desired results | Hard work leads to successful outcomes. | general
행복한 | Feeling joy and pleasure | Children are happy when they play with friends. | general
똑똑한 | Having intelligence and good judgment | Smart students ask questions to learn more. | general
강한 | Having physical power | Exercise makes your muscles strong and healthy. | general
친절한 | Having a good and caring nature | Kind people help others without expecting rewards. | general
용감한 | Not afraid in dangerous situations | The brave firefighter saved the family from fire. | general
예의 바른 | Having good manners | Polite children say please and thank you. | general
재미있는 | Causing laughter | The funny movie made everyone in theater laugh. | general
빠른 | Moving or happening fast | The quick rabbit ran away from the dog. | general
조용한 | Making little or no noise | Please be quiet during the library study time. | general
공정한 | Treating everyone equally | The fair teacher gives everyone equal chances. | general
동물 | A living creature that can move and eat | The zoo has many different animals from around the world. | science
식물 | A living thing that grows in soil | Water the plant every morning to keep it healthy. | science
물 | Clear liquid that falls as rain | Drink plenty of water to stay healthy. | science
에너지 | Power used to make things work | Solar panels collect energy from the sun. | science
자연 | The physical world including plants and animals | Spending time in nature helps reduce stress. | science
날씨 | Conditions outside like rain or sunshine | Check the weather before planning outdoor activities. | science
기후 | The usual weather in a place | The climate here is warm and sunny most of the year. | science
바다 | Very large area of salt water | The Pacific Ocean is the largest ocean on Earth. | science
숲 | Large area covered with trees | Many wild animals live in the forest. | science
산 | Very high area of land | We climbed the mountain to see the beautiful view. | science
강 | Large stream of water flowing to the sea | The river flows through the center of our city. | science
지구 | The planet we live on | Earth is the only planet known to have life. | science
우주 | The area beyond Earth where stars exist | Astronauts travel to space in rockets. | science
과학 | Study of the natural world | Science helps us understand how things work. | science
건강 | Being free from illness | Exercise and good food are important for health. | science
약 | Treatment used to cure illness | Take your medicine three times a day. | science
의사 | Person who treats sick people | Visit the doctor if you feel unwell. | science
환경 | The natural world around us | We must protect the environment for future generations. | science
온도 | How hot or cold something is | The temperature today is perfect for swimming. | science
실험 | Test done to learn something new | We did a science experiment in class today. | science
발견 | Finding something new | The discovery of electricity changed the world. | science
발명 | Something created for first time | The invention of the wheel helped transportation. | science
태양의 | Related to the sun | Solar panels use sunlight to create electricity. | science
세포 | Smallest unit of living things | All plants and animals are made of cells. | science
뼈 | Hard parts inside body | Strong bones support your body weight. | science
피 | Red liquid that flows in body | Blood carries oxygen to all body parts. | science
뇌 | Organ that controls thinking | The brain controls all body functions. | science
중력 | Force that pulls things down | Gravity makes things fall to the ground. | science
